Batsman,Bowler,Fours,Sixes,Wickets,Average,StrikeRate,Dominance
ROHIT SHARMA (INDIA),TRENT BOULT (NEW ZEALAND),5,3,2,45.0,92.5,0
ROHIT SHARMA (INDIA),MITCHELL STARC (AUSTRALIA),4,2,1,38.0,88.0,1
ROHIT SHARMA (INDIA),KAGISO RABADA (SOUTH AFRICA),3,1,0,50.0,95.0,0
ROHIT SHARMA (INDIA),SHAHEEN AFRIDI (PAKISTAN),6,2,1,42.0,90.0,1
VIRAT KOHLI (INDIA),TIM SOUTHEE (NEW ZEALAND),6,1,1,55.0,90.0,0
VIRAT KOHLI (INDIA),PATRICK CUMMINS (AUSTRALIA),5,1,2,48.0,88.0,1
VIRAT KOHLI (INDIA),JOSH HAZLEWOOD (AUSTRALIA),4,0,0,60.0,92.0,0
STEVE SMITH (AUSTRALIA),JASPRIT BUMRAH (INDIA),4,0,2,48.0,85.0,1
STEVE SMITH (AUSTRALIA),TRENT BOULT (NEW ZEALAND),5,1,1,50.0,88.0,0
KANE WILLIAMSON (NEW ZEALAND),MOHAMMED SHAMI (INDIA),4,1,2,45.0,80.0,1
KANE WILLIAMSON (NEW ZEALAND),MITCHELL STARC (AUSTRALIA),3,1,1,47.0,82.0,0
JOE ROOT (ENGLAND),JASPRIT BUMRAH (INDIA),6,0,1,55.0,88.0,0
JOE ROOT (ENGLAND),KAGISO RABADA (SOUTH AFRICA),5,1,2,50.0,85.0,1
BABAR AZAM (PAKISTAN),JASPRIT BUMRAH (INDIA),3,0,2,35.0,80.0,1
BABAR AZAM (PAKISTAN),TRENT BOULT (NEW ZEALAND),2,0,1,32.0,78.0,1
BABAR AZAM (PAKISTAN),MITCHELL STARC (AUSTRALIA),4,1,3,30.0,75.0,1
LITON DAS (BANGLADESH),JASPRIT BUMRAH (INDIA),2,0,2,25.0,70.0,1
LITON DAS (BANGLADESH),PATRICK CUMMINS (AUSTRALIA),1,0,1,22.0,65.0,1
REEZA HENDRICKS (SOUTH AFRICA),JASPRIT BUMRAH (INDIA),2,0,2,28.0,72.0,1
REEZA HENDRICKS (SOUTH AFRICA),TRENT BOULT (NEW ZEALAND),3,1,1,30.0,75.0,0
DAVID WARNER (AUSTRALIA),JASPRIT BUMRAH (INDIA),4,1,2,35.0,85.0,1
DAVID WARNER (AUSTRALIA),SHAHEEN AFRIDI (PAKISTAN),3,0,1,32.0,80.0,1
JONNY BAIRSTOW (ENGLAND),KAGISO RABADA (SOUTH AFRICA),2,0,2,28.0,70.0,1
JONNY BAIRSTOW (ENGLAND),MITCHELL STARC (AUSTRALIA),3,1,1,30.0,75.0,0
ROHIT SHARMA (INDIA),PATRICK CUMMINS (AUSTRALIA),4,1,2,40.0,85.0,1
VIRAT KOHLI (INDIA),KAGISO RABADA (SOUTH AFRICA),5,1,2,45.0,87.0,1
STEVE SMITH (AUSTRALIA),MOHAMMED SHAMI (INDIA),5,0,1,49.0,87.0,0
KANE WILLIAMSON (NEW ZEALAND),JASPRIT BUMRAH (INDIA),4,0,1,48.0,83.0,0
JOE ROOT (ENGLAND),TRENT BOULT (NEW ZEALAND),5,0,1,52.0,86.0,0
BABAR AZAM (PAKISTAN),PATRICK CUMMINS (AUSTRALIA),2,0,2,25.0,70.0,1
LITON DAS (BANGLADESH),MITCHELL STARC (AUSTRALIA),1,0,2,20.0,60.0,1
REEZA HENDRICKS (SOUTH AFRICA),JOSH HAZLEWOOD (AUSTRALIA),2,0,1,27.0,68.0,1
DAVID WARNER (AUSTRALIA),MOHAMMED SHAMI (INDIA),3,1,2,30.0,75.0,1
JONNY BAIRSTOW (ENGLAND),JASPRIT BUMRAH (INDIA),2,0,2,25.0,68.0,1
ROHIT SHARMA (INDIA),TIM SOUTHEE (NEW ZEALAND),4,2,0,52.0,96.0,0
VIRAT KOHLI (INDIA),SHAHEEN AFRIDI (PAKISTAN),5,1,2,45.0,87.0,1
STEVE SMITH (AUSTRALIA),KAGISO RABADA (SOUTH AFRICA),3,0,2,45.0,82.0,1
KANE WILLIAMSON (NEW ZEALAND),PATRICK CUMMINS (AUSTRALIA),4,1,1,50.0,84.0,0
JOE ROOT (ENGLAND),MITCHELL STARC (AUSTRALIA),4,1,0,57.0,90.0,0
BABAR AZAM (PAKISTAN),JOSH HAZLEWOOD (AUSTRALIA),2,0,2,25.0,68.0,1
LITON DAS (BANGLADESH),KAGISO RABADA (SOUTH AFRICA),1,0,2,20.0,60.0,1
REEZA HENDRICKS (SOUTH AFRICA),TRENT BOULT (NEW ZEALAND),2,0,1,27.0,70.0,1
DAVID WARNER (AUSTRALIA),SHAHEEN AFRIDI (PAKISTAN),3,1,2,30.0,75.0,1
JONNY BAIRSTOW (ENGLAND),MOHAMMED SHAMI (INDIA),2,0,1,25.0,68.0,1
